property,city,tenant,unit_number,unit_type,monthly_rent,lease_end,days_to_expiry,expiry_bucket,tenant_status
Duvall Westside,Laurel,Michael Tucker,082,1BR/1BA,1767.0,2022-04-10,-1458,Expired,Active
Cedar Ridge Commons,Ellicott City,Juan Adams,202,2BR/2BA,2075.0,2022-04-13,-1455,Expired,Active
Fieldside Grande Ph1,Pikesville,Tim Welch,227,2BR/2BA,2217.0,2022-04-16,-1452,Expired,Active
Fieldside Grande Ph1,Pikesville,Donald Morgan,275,3BR/2BA,3093.0,2022-04-16,-1452,Expired,Active
Cedar Ridge Commons,Ellicott City,Tyler Patel,068,1BR/1BA,1439.0,2022-04-16,-1452,Expired,Active
Townes at Heritage Hills,Glen Burnie,Danielle Gonzalez,091,2BR/2BA,2390.0,2022-04-17,-1451,Expired,Active
Fieldside Grande Ph1,Pikesville,Alexander Mitchell,231,2BR/2BA,2173.0,2022-04-17,-1451,Expired,Active
Fieldside Grande Ph1,Pikesville,Philip Chambers,043,1BR/1BA,1731.0,2022-04-18,-1450,Expired,Active
Cedar Ridge Commons,Ellicott City,Nicole Sanchez,157,2BR/1BA,1881.0,2022-04-18,-1450,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Cassidy Paul,006,Studio,1488.0,2022-04-19,-1449,Expired,Active
Mills Crossing,Owings Mills,Robert Jensen,204,2BR/2BA,2106.0,2022-04-20,-1448,Expired,Active
Duvall Westside,Laurel,Kimberly Gutierrez,055,1BR/1BA,1432.0,2022-04-22,-1446,Expired,Active
Mills Crossing,Owings Mills,Danielle Murphy,129,2BR/2BA,2042.0,2022-04-22,-1446,Expired,Active
Duvall Westside,Laurel,Casey James,085,1BR/1BA,1718.0,2022-04-24,-1444,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Andrew Patton,116,2BR/2BA,2362.0,2022-04-24,-1444,Expired,Active
Avenue Grand,Baltimore,Marilyn Lozano,115,2BR/1BA,1930.0,2022-04-25,-1443,Expired,Active
Avenue Grand,Baltimore,Michael Le,179,2BR/2BA,2004.0,2022-04-27,-1441,Expired,Active
Mills Crossing,Owings Mills,Alan Barr,284,3BR/2BA,2458.0,2022-04-28,-1440,Expired,Active
Fieldside Grande Ph1,Pikesville,Holly Cruz,281,3BR/2BA,2803.0,2022-04-28,-1440,Expired,Active
Mills Crossing,Owings Mills,John Dillon,037,1BR/1BA,1728.0,2022-04-30,-1438,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Crystal Mclean,104,2BR/2BA,2224.0,2022-05-02,-1436,Expired,Active
Townes at Heritage Hills,Glen Burnie,Anthony Jacobson,070,2BR/2BA,2041.0,2022-05-03,-1435,Expired,Active
Avenue Grand,Baltimore,William Davis,104,1BR/1BA,1813.0,2022-05-03,-1435,Expired,Active
Mills Crossing,Owings Mills,David Jones,156,2BR/2BA,2065.0,2022-05-04,-1434,Expired,Active
Mills Crossing,Owings Mills,Nancy Goodwin,135,2BR/2BA,1859.0,2022-05-05,-1433,Expired,Active
Townes at Heritage Hills,Glen Burnie,Amanda Landry,163,3BR/2BA,2510.0,2022-05-12,-1426,Expired,Active
Cedar Ridge Commons,Ellicott City,James Anderson,265,2BR/2BA,2032.0,2022-05-13,-1425,Expired,Active
Mills Crossing,Owings Mills,Dr. Linda Underwood,100,2BR/1BA,1739.0,2022-05-14,-1424,Expired,Active
Mills Crossing,Owings Mills,Meghan Patel,136,2BR/2BA,1927.0,2022-05-14,-1424,Expired,Active
Avenue Grand,Baltimore,Luis Richardson,123,2BR/1BA,1848.0,2022-05-14,-1424,Expired,Active
Townes at Heritage Hills,Glen Burnie,Marie Hill,003,1BR/1BA,1722.0,2022-05-17,-1421,Expired,Active
Townes at Heritage Hills,Glen Burnie,Charles Sanchez,055,2BR/2BA,1921.0,2022-05-18,-1420,Expired,Active
Cedar Ridge Commons,Ellicott City,Kelli Lee,216,2BR/2BA,2210.0,2022-05-23,-1415,Expired,Active
Mills Crossing,Owings Mills,Bryce Taylor,237,3BR/2BA,2621.0,2022-05-27,-1411,Expired,Active
Townes at Heritage Hills,Glen Burnie,Jeanne Butler,114,3BR/2BA,2202.0,2022-05-28,-1410,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Tracy Baxter,082,2BR/2BA,1821.0,2022-05-28,-1410,Expired,Active
Cedar Ridge Commons,Ellicott City,Mary Hill,117,1BR/1BA,1678.0,2022-05-29,-1409,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Beth Byrd,130,2BR/2BA,1857.0,2022-06-06,-1401,Expired,Active
Riverfront Flats,Frederick,Michael Smith,195,2BR/2BA,2059.0,2022-06-06,-1401,Expired,Active
Fieldside Grande Ph1,Pikesville,Stephanie Turner,149,2BR/2BA,2139.0,2022-06-07,-1400,Expired,Active
Avenue Grand,Baltimore,Kirsten Collins,092,1BR/1BA,1537.0,2022-06-07,-1400,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Joshua Sanders,136,3BR/2BA,2545.0,2022-06-07,-1400,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Brian Lopez,145,3BR/2BA,2721.0,2022-06-10,-1397,Expired,Active
Riverfront Flats,Frederick,Carmen Herrera,045,1BR/1BA,1898.0,2022-06-10,-1397,Expired,Active
Cedar Ridge Commons,Ellicott City,Randall Jackson,278,2BR/2BA,2006.0,2022-06-15,-1392,Expired,Active
Riverfront Flats,Frederick,Daniel Pierce,234,2BR/2BA,1964.0,2022-06-16,-1391,Expired,Active
Mills Crossing,Owings Mills,Fernando Tran,232,2BR/2BA,2367.0,2022-06-18,-1389,Expired,Active
Avenue Grand,Baltimore,Calvin Ramirez,022,Studio,1399.0,2022-06-21,-1386,Expired,Active
Riverfront Flats,Frederick,Carl Adams,222,2BR/2BA,2277.0,2022-06-21,-1386,Expired,Active
Cedar Ridge Commons,Ellicott City,Leslie Mcdaniel,193,2BR/2BA,1957.0,2022-06-22,-1385,Expired,Active
Avenue Grand,Baltimore,Jeremy Summers,050,1BR/1BA,1607.0,2022-06-23,-1384,Expired,Active
Cedar Ridge Commons,Ellicott City,Veronica Decker,307,3BR/2BA,2383.0,2022-06-23,-1384,Expired,Active
Cedar Ridge Commons,Ellicott City,Lisa Pitts,276,2BR/2BA,2212.0,2022-06-26,-1381,Expired,Active
Townes at Heritage Hills,Glen Burnie,Mckenzie Brown,196,3BR/2BA,2743.0,2022-06-28,-1379,Expired,Active
Fieldside Grande Ph1,Pikesville,Emily Robinson,146,2BR/2BA,2303.0,2022-06-28,-1379,Expired,Active
Cedar Ridge Commons,Ellicott City,Raymond Strong,155,2BR/1BA,2172.0,2022-06-30,-1377,Expired,Active
Duvall Westside,Laurel,Tanya Campos,013,Studio,1371.0,2022-07-02,-1375,Expired,Active
Fieldside Grande Ph1,Pikesville,Sharon Smith,121,2BR/1BA,1869.0,2022-07-02,-1375,Expired,Active
Cedar Ridge Commons,Ellicott City,Colton Roth,247,2BR/2BA,2199.0,2022-07-02,-1375,Expired,Active
Mills Crossing,Owings Mills,Sharon Robinson,033,1BR/1BA,1752.0,2022-07-03,-1374,Expired,Active
Townes at Heritage Hills,Glen Burnie,Daniel Russell,177,3BR/2BA,2801.0,2022-07-09,-1368,Expired,Active
Avenue Grand,Baltimore,Jacqueline Bass,130,2BR/1BA,1797.0,2022-07-10,-1367,Expired,Active
Cedar Ridge Commons,Ellicott City,Amanda Brooks,075,1BR/1BA,1469.0,2022-07-10,-1367,Expired,Active
Avenue Grand,Baltimore,Melissa Thomas,145,2BR/2BA,2007.0,2022-07-11,-1366,Expired,Active
Avenue Grand,Baltimore,Kristin Flores,185,2BR/2BA,1940.0,2022-07-11,-1366,Expired,Active
Mills Crossing,Owings Mills,Ashley Crawford,115,2BR/1BA,1809.0,2022-07-13,-1364,Expired,Active
Duvall Westside,Laurel,Amanda Huff,129,2BR/1BA,1934.0,2022-07-14,-1363,Expired,Active
Duvall Westside,Laurel,Nathan Montes,096,1BR/1BA,1515.0,2022-07-16,-1361,Expired,Active
Fieldside Grande Ph1,Pikesville,Mary Davis,064,1BR/1BA,1934.0,2022-07-16,-1361,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Brian Perez,009,Studio,1381.0,2022-07-16,-1361,Expired,Active
Townes at Heritage Hills,Glen Burnie,Kari Sandoval,168,3BR/2BA,2503.0,2022-07-17,-1360,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Megan Allison,077,2BR/2BA,2048.0,2022-07-17,-1360,Expired,Active
Mills Crossing,Owings Mills,Anthony Medina,122,2BR/1BA,1961.0,2022-07-18,-1359,Expired,Active
Fieldside Grande Ph1,Pikesville,Bailey Young,209,2BR/2BA,2034.0,2022-07-19,-1358,Expired,Active
Avenue Grand,Baltimore,Brandy Williams,135,2BR/2BA,2108.0,2022-07-19,-1358,Expired,Active
Cedar Ridge Commons,Ellicott City,Dylan Cantu,260,2BR/2BA,2071.0,2022-07-20,-1357,Expired,Active
Cedar Ridge Commons,Ellicott City,Michael Berry,283,3BR/2BA,2673.0,2022-07-20,-1357,Expired,Active
Fieldside Grande Ph1,Pikesville,Marcus Zamora,246,2BR/2BA,2157.0,2022-07-22,-1355,Expired,Active
Cedar Ridge Commons,Ellicott City,Clayton Torres,023,Studio,1383.0,2022-07-23,-1354,Expired,Active
Fieldside Grande Ph1,Pikesville,Kimberly Brooks,153,2BR/2BA,2195.0,2022-07-24,-1353,Expired,Active
Cedar Ridge Commons,Ellicott City,Laura Daniel,230,2BR/2BA,2249.0,2022-07-24,-1353,Expired,Active
Townes at Heritage Hills,Glen Burnie,Sandra Phillips,165,3BR/2BA,2498.0,2022-07-26,-1351,Expired,Active
Mills Crossing,Owings Mills,Julie Johnson,149,2BR/2BA,1968.0,2022-07-30,-1347,Expired,Active
Cedar Ridge Commons,Ellicott City,Amanda Sanders,151,2BR/1BA,1819.0,2022-07-30,-1347,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Tiffany Gomez,112,2BR/2BA,2089.0,2022-08-02,-1344,Expired,Active
Duvall Westside,Laurel,Chris Velazquez,196,2BR/2BA,2079.0,2022-08-04,-1342,Expired,Active
Fieldside Grande Ph1,Pikesville,Arthur Cooper,126,2BR/1BA,1751.0,2022-08-04,-1342,Expired,Active
Avenue Grand,Baltimore,Jacqueline James,181,2BR/2BA,2163.0,2022-08-04,-1342,Expired,Active
Duvall Westside,Laurel,Alexis Baker,074,1BR/1BA,1436.0,2022-08-06,-1340,Expired,Active
Fieldside Grande Ph1,Pikesville,Mathew Cole,242,2BR/2BA,2104.0,2022-08-06,-1340,Expired,Active
Cedar Ridge Commons,Ellicott City,Jonathan Rivera,188,2BR/2BA,2238.0,2022-08-08,-1338,Expired,Active
Fieldside Grande Ph1,Pikesville,Sonya Simmons,205,2BR/2BA,1867.0,2022-08-09,-1337,Expired,Active
Riverfront Flats,Frederick,Benjamin Boyer,082,1BR/1BA,1430.0,2022-08-09,-1337,Expired,Active
Avenue Grand,Baltimore,Marie Davidson,120,2BR/1BA,1630.0,2022-08-11,-1335,Expired,Active
Townes at Heritage Hills,Glen Burnie,Thomas Dodson,161,3BR/2BA,2244.0,2022-08-12,-1334,Expired,Active
Fieldside Grande Ph1,Pikesville,Mary Hill,084,1BR/1BA,1786.0,2022-08-12,-1334,Expired,Active
Riverfront Flats,Frederick,Eric Colon,219,2BR/2BA,1892.0,2022-08-12,-1334,Expired,Active
Duvall Westside,Laurel,Paul Berger,274,3BR/2BA,2326.0,2022-08-14,-1332,Expired,Active
Duvall Westside,Laurel,Angel Fry,241,2BR/2BA,2086.0,2022-08-15,-1331,Expired,Active
Mills Crossing,Owings Mills,Beth Thompson,288,3BR/2BA,2859.0,2022-08-15,-1331,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Melissa Miller,151,3BR/2BA,2520.0,2022-08-15,-1331,Expired,Active
Riverfront Flats,Frederick,Sarah Brown,174,2BR/2BA,2206.0,2022-08-15,-1331,Expired,Active
Duvall Westside,Laurel,Michael Miles,192,2BR/2BA,2333.0,2022-08-16,-1330,Expired,Active
Mills Crossing,Owings Mills,Tammy Fields,194,2BR/2BA,2207.0,2022-08-16,-1330,Expired,Active
Fieldside Grande Ph1,Pikesville,Eileen Taylor,237,2BR/2BA,2206.0,2022-08-17,-1329,Expired,Active
Avenue Grand,Baltimore,Amy Lara,204,3BR/2BA,2451.0,2022-08-18,-1328,Expired,Active
Riverfront Flats,Frederick,Kelly Doyle,150,2BR/1BA,1805.0,2022-08-19,-1327,Expired,Active
Riverfront Flats,Frederick,Kelly Smith,238,3BR/2BA,2660.0,2022-08-21,-1325,Expired,Active
Riverfront Flats,Frederick,Samuel Williams,217,2BR/2BA,2074.0,2022-08-22,-1324,Expired,Active
Cedar Ridge Commons,Ellicott City,Ronald Bates,114,1BR/1BA,1823.0,2022-08-23,-1323,Expired,Active
Mills Crossing,Owings Mills,Kelly Holder,045,1BR/1BA,1639.0,2022-08-24,-1322,Expired,Active
Cedar Ridge Commons,Ellicott City,Jessica Bonilla,060,1BR/1BA,1592.0,2022-08-24,-1322,Expired,Active
Cedar Ridge Commons,Ellicott City,Carlos Ortiz,091,1BR/1BA,1598.0,2022-08-24,-1322,Expired,Active
Avenue Grand,Baltimore,Roy Davis,087,1BR/1BA,1453.0,2022-08-25,-1321,Expired,Active
Riverfront Flats,Frederick,Christopher White,056,1BR/1BA,1618.0,2022-08-25,-1321,Expired,Active
Cedar Ridge Commons,Ellicott City,Elizabeth Norton,297,3BR/2BA,2528.0,2022-08-26,-1320,Expired,Active
Fieldside Grande Ph1,Pikesville,Miss Linda Cox DVM,076,1BR/1BA,1675.0,2022-08-27,-1319,Expired,Active
Riverfront Flats,Frederick,Tonya Holland,123,1BR/1BA,1892.0,2022-08-27,-1319,Expired,Active
Avenue Grand,Baltimore,Beth Shaw,086,1BR/1BA,1789.0,2022-08-29,-1317,Expired,Active
Duvall Westside,Laurel,Tina Jackson,276,3BR/2BA,2440.0,2022-08-30,-1316,Expired,Active
Fieldside Grande Ph1,Pikesville,Karen Arellano,167,2BR/2BA,2283.0,2022-08-30,-1316,Expired,Active
Fieldside Grande Ph1,Pikesville,Jim Rodriguez,070,1BR/1BA,1613.0,2022-09-01,-1314,Expired,Active
Riverfront Flats,Frederick,James Andrews,080,1BR/1BA,1687.0,2022-09-01,-1314,Expired,Active
Mills Crossing,Owings Mills,Patrick Zamora,041,1BR/1BA,1492.0,2022-09-05,-1310,Expired,Active
Cedar Ridge Commons,Ellicott City,Jason Ellis,150,2BR/1BA,2120.0,2022-09-06,-1309,Expired,Active
Riverfront Flats,Frederick,Joseph Merritt,237,3BR/2BA,2406.0,2022-09-06,-1309,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Allison Glover,017,1BR/1BA,1581.0,2022-09-07,-1308,Expired,Active
Cedar Ridge Commons,Ellicott City,Catherine Martin DVM,119,1BR/1BA,1480.0,2022-09-08,-1307,Expired,Active
Duvall Westside,Laurel,Jason Herrera,202,2BR/2BA,2033.0,2022-09-09,-1306,Expired,Active
Fieldside Grande Ph1,Pikesville,Aaron Hernandez,007,Studio,1491.0,2022-09-10,-1305,Expired,Active
Fieldside Grande Ph1,Pikesville,Adam Diaz,033,1BR/1BA,1726.0,2022-09-10,-1305,Expired,Active
Riverfront Flats,Frederick,Olivia Hayes,074,1BR/1BA,1608.0,2022-09-10,-1305,Expired,Active
Fieldside Grande Ph1,Pikesville,Kathleen Graham,087,1BR/1BA,1926.0,2022-09-12,-1303,Expired,Active
Fieldside Grande Ph1,Pikesville,Scott Washington,082,1BR/1BA,1717.0,2022-09-14,-1301,Expired,Active
Avenue Grand,Baltimore,Tina Green,113,2BR/1BA,1751.0,2022-09-14,-1301,Expired,Active
Cedar Ridge Commons,Ellicott City,Raymond Garcia,164,2BR/1BA,2016.0,2022-09-16,-1299,Expired,Active
Fieldside Grande Ph1,Pikesville,Sheila Mendoza,201,2BR/2BA,2408.0,2022-09-18,-1297,Expired,Active
Duvall Westside,Laurel,Donald Horne,108,1BR/1BA,1860.0,2022-09-19,-1296,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Kim Stewart,111,2BR/2BA,2133.0,2022-09-23,-1292,Expired,Active
Mills Crossing,Owings Mills,Elizabeth Tucker PhD,222,2BR/2BA,2244.0,2022-09-25,-1290,Expired,Active
Fieldside Grande Ph1,Pikesville,Gene Jones,053,1BR/1BA,1655.0,2022-09-26,-1289,Expired,Active
Riverfront Flats,Frederick,Aaron Williamson,194,2BR/2BA,2309.0,2022-09-26,-1289,Expired,Active
Mills Crossing,Owings Mills,Victor Harmon,177,2BR/2BA,2076.0,2022-09-27,-1288,Expired,Active
Duvall Westside,Laurel,Kristen Lee,028,Studio,1533.0,2022-09-30,-1285,Expired,Active
Mills Crossing,Owings Mills,Kimberly Rogers,079,2BR/1BA,1861.0,2022-10-01,-1284,Expired,Active
Townes at Heritage Hills,Glen Burnie,Alisha Martin,042,2BR/2BA,2137.0,2022-10-01,-1284,Expired,Active
Avenue Grand,Baltimore,Jocelyn Beard,080,1BR/1BA,1464.0,2022-10-01,-1284,Expired,Active
Townes at Heritage Hills,Glen Burnie,Nicholas Henderson,009,1BR/1BA,1410.0,2022-10-02,-1283,Expired,Active
Mills Crossing,Owings Mills,Michael Powell,219,2BR/2BA,1888.0,2022-10-03,-1282,Expired,Active
Townes at Heritage Hills,Glen Burnie,Nicholas Villegas,015,1BR/1BA,1841.0,2022-10-07,-1278,Expired,Active
Riverfront Flats,Frederick,Rachel Koch,121,1BR/1BA,1686.0,2022-10-08,-1277,Expired,Active
Avenue Grand,Baltimore,Mark Romero,019,Studio,1338.0,2022-10-09,-1276,Expired,Active
Cedar Ridge Commons,Ellicott City,Brian Andrews,092,1BR/1BA,1446.0,2022-10-11,-1274,Expired,Active
Mills Crossing,Owings Mills,Bethany Harding,266,3BR/2BA,2668.0,2022-10-12,-1273,Expired,Active
Avenue Grand,Baltimore,Amber Williams,083,1BR/1BA,1727.0,2022-10-13,-1272,Expired,Active
Cedar Ridge Commons,Ellicott City,Mark Contreras,288,3BR/2BA,2199.0,2022-10-13,-1272,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Megan House,048,2BR/1BA,2023.0,2022-10-14,-1271,Expired,Active
Fieldside Grande Ph1,Pikesville,Kyle Simmons,164,2BR/2BA,2028.0,2022-10-15,-1270,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Sheila Harris,080,2BR/2BA,2111.0,2022-10-15,-1270,Expired,Active
Avenue Grand,Baltimore,Erik Leon,146,2BR/2BA,2223.0,2022-10-16,-1269,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Kelly Allen,120,2BR/2BA,2164.0,2022-10-17,-1268,Expired,Active
Riverfront Flats,Frederick,Nicholas Craig,245,3BR/2BA,2863.0,2022-10-17,-1268,Expired,Active
Fieldside Grande Ph1,Pikesville,Trevor Weeks,106,1BR/1BA,1817.0,2022-10-18,-1267,Expired,Active
Cedar Ridge Commons,Ellicott City,Keith Brown,241,2BR/2BA,2267.0,2022-10-18,-1267,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Michael Brooks,149,3BR/2BA,2556.0,2022-10-18,-1267,Expired,Active
Mills Crossing,Owings Mills,Matthew Alvarado,058,1BR/1BA,1636.0,2022-10-19,-1266,Expired,Active
Mills Crossing,Owings Mills,Denise Miller,184,2BR/2BA,2087.0,2022-10-19,-1266,Expired,Active
Cedar Ridge Commons,Ellicott City,Antonio Taylor,071,1BR/1BA,1863.0,2022-10-22,-1263,Expired,Active
Mills Crossing,Owings Mills,Anthony Jones,163,2BR/2BA,2093.0,2022-10-24,-1261,Expired,Active
Duvall Westside,Laurel,Julie Ball,143,2BR/2BA,2070.0,2022-10-25,-1260,Expired,Active
Fieldside Grande Ph1,Pikesville,Angela Nolan,029,1BR/1BA,1770.0,2022-10-26,-1259,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Timothy Valencia,022,1BR/1BA,1674.0,2022-10-27,-1258,Expired,Active
Fieldside Grande Ph1,Pikesville,Raymond Costa,218,2BR/2BA,1801.0,2022-11-01,-1253,Expired,Active
Avenue Grand,Baltimore,Mary Gibson,058,1BR/1BA,1640.0,2022-11-01,-1253,Expired,Active
Avenue Grand,Baltimore,Gregory Wiggins,053,1BR/1BA,1764.0,2022-11-04,-1250,Expired,Active
Duvall Westside,Laurel,Roger Lee,259,3BR/2BA,2749.0,2022-11-07,-1247,Expired,Active
Cedar Ridge Commons,Ellicott City,Christopher Pruitt,090,1BR/1BA,1826.0,2022-11-09,-1245,Expired,Active
Cedar Ridge Commons,Ellicott City,Scott Cooley,042,1BR/1BA,1685.0,2022-11-11,-1243,Expired,Active
Cedar Ridge Commons,Ellicott City,Nichole Thompson,110,1BR/1BA,1486.0,2022-11-11,-1243,Expired,Active
Duvall Westside,Laurel,Maria Jones,092,1BR/1BA,1541.0,2022-11-12,-1242,Expired,Active
