tenant_id,unit_id,full_name,email,phone,lease_start,lease_end,monthly_rent,deposit,status,lease_duration_days,days_to_expiry,lease_expired,expiry_bucket,lease_term_type,market_rent,unit_type,sqft,loss_to_lease,loss_to_lease_pct,concession_flag,total_charges,paid_on_time,partial_count,delinquent_count,total_due,total_paid,collection_rate,payment_reliability,delinquency_risk_score,risk_tier
T00012,U00016,Joel Baxter,ramosmichelle@example.net,908-501-3267,2023-07-19,2025-01-17,1378.0,1378.0,Active,548,-444,1,Expired,Long-Term (>12mo),1541.0,Studio,566,163.0,10.58,1,14.0,14.0,0.0,0.0,19292.0,19292.0,100.0,100.0,0.0,Low Risk
T00013,U00017,Stephanie Martin,gallowayjoseph@example.com,268-272-3430x9805,2022-02-21,2023-02-21,1448.0,1448.0,Active,365,-1140,1,Expired,Standard (6-12mo),1457.0,Studio,544,9.0,0.62,0,,,,,,,,,,
T00014,U00019,Kathryn Farrell,brianromero@example.org,291-336-1939,2022-06-30,2023-06-30,1356.0,1356.0,Active,365,-1011,1,Expired,Standard (6-12mo),1399.0,Studio,512,43.0,3.07,0,,,,,,,,,,
T00015,U00020,Kevin Mills,james53@example.com,(524)675-1079x9118,2023-02-22,2024-02-22,1319.0,1319.0,Active,365,-774,1,Expired,Standard (6-12mo),1416.0,Studio,592,97.0,6.85,1,3.0,3.0,0.0,0.0,3957.0,3957.0,100.0,100.0,0.0,Low Risk
T00016,U00021,Gregory Jones,mikemoore@example.net,001-449-680-8412x411,2022-02-28,2024-02-28,1447.0,1447.0,Active,730,-768,1,Expired,Long-Term (>12mo),1597.0,Studio,508,150.0,9.39,1,3.0,3.0,0.0,0.0,4341.0,4341.0,100.0,100.0,0.0,Low Risk
T00017,U00022,Daniel Cooper,william40@example.org,+1-264-300-5242x7868,2022-08-03,2023-08-03,1274.0,1274.0,Active,365,-977,1,Expired,Standard (6-12mo),1370.0,Studio,518,96.0,7.01,1,,,,,,,,,,
T00018,U00023,Stephen Mckee,davenportbrandi@example.org,(420)545-0533x15869,2023-04-17,2024-04-16,1367.0,1367.0,Notice to Vacate,365,-720,1,Expired,Standard (6-12mo),1547.0,Studio,504,180.0,11.64,1,5.0,5.0,0.0,0.0,6835.0,6835.0,100.0,100.0,0.0,Low Risk
T00019,U00025,Vanessa Cochran,vjohnson@example.com,(534)221-6073x37543,2022-06-21,2023-06-21,1363.0,1363.0,Active,365,-1020,1,Expired,Standard (6-12mo),1429.0,Studio,587,66.0,4.62,0,,,,,,,,,,
T00020,U00026,Jennifer Ramirez,rasmussenjoshua@example.net,768.750.1429x40196,2022-05-24,2023-05-24,1396.0,1396.0,Active,365,-1048,1,Expired,Standard (6-12mo),1470.0,Studio,599,74.0,5.03,1,,,,,,,,,,
T00021,U00027,William Wilson,jonathanfletcher@example.org,783.856.1595x14846,2023-07-28,2024-07-27,1320.0,1320.0,Active,365,-618,1,Expired,Standard (6-12mo),1498.0,Studio,580,178.0,11.88,1,8.0,8.0,0.0,0.0,10560.0,10560.0,100.0,100.0,0.0,Low Risk
T00022,U00028,Kristen Lee,lbyrd@example.net,001-746-980-4436,2021-09-30,2022-09-30,1533.0,1533.0,Active,365,-1284,1,Expired,Standard (6-12mo),1538.0,Studio,489,5.0,0.33,0,,,,,,,,,,
T00023,U00030,Michael Dixon,donnacampbell@example.net,+1-395-913-4332x0037,2023-03-26,2024-03-25,1701.0,1701.0,Active,365,-742,1,Expired,Standard (6-12mo),1762.0,1BR/1BA,769,61.0,3.46,0,4.0,4.0,0.0,0.0,6804.0,6804.0,100.0,100.0,0.0,Low Risk
T00024,U00032,Mark Lee,psnyder@example.org,+1-401-963-2870x8317,2023-05-17,2025-05-16,1509.0,1509.0,Active,730,-325,1,Expired,Long-Term (>12mo),1657.0,1BR/1BA,842,148.0,8.93,1,15.0,14.0,0.0,1.0,22635.0,21126.0,93.33,93.33,34.0,High Risk
T00025,U00033,Victoria Larson,usalazar@example.net,(387)627-7434x87347,2021-07-15,2023-07-15,1479.0,1479.0,Notice to Vacate,730,-996,1,Expired,Long-Term (>12mo),1667.0,1BR/1BA,678,188.0,11.28,1,,,,,,,,,,
T00026,U00034,George Orozco,taylorjesse@example.net,(231)566-5876,2022-11-13,2023-11-13,1809.0,1809.0,Active,365,-875,1,Expired,Standard (6-12mo),1932.0,1BR/1BA,650,123.0,6.37,1,,,,,,,,,,
T00027,U00035,Jean Carrillo,gateskathy@example.com,805.946.6889x3734,2022-12-27,2024-12-26,1841.0,1841.0,Active,730,-466,1,Expired,Long-Term (>12mo),1855.0,1BR/1BA,778,14.0,0.75,0,14.0,14.0,0.0,0.0,25774.0,25774.0,100.0,100.0,0.0,Low Risk
T00028,U00037,George Shelton,dramsey@example.org,+1-280-669-9016x272,2024-05-10,2025-05-10,1435.0,1435.0,Active,365,-331,1,Expired,Standard (6-12mo),1630.0,1BR/1BA,805,195.0,11.96,1,10.0,10.0,0.0,0.0,14350.0,14350.0,100.0,100.0,0.0,Low Risk
T00029,U00038,Daniel Murphy,aramirez@example.com,270-580-5310,2023-10-31,2025-10-30,1788.0,1788.0,Active,730,-158,1,Expired,Long-Term (>12mo),1931.0,1BR/1BA,788,143.0,7.41,1,15.0,12.0,2.0,1.0,26820.0,24568.0,91.6,80.0,62.0,Critical
T00030,U00039,Alex Hernandez,thomaswilson@example.org,645.829.9124x190,2023-03-20,2024-03-19,1505.0,1505.0,Active,365,-748,1,Expired,Standard (6-12mo),1680.0,1BR/1BA,803,175.0,10.42,1,4.0,4.0,0.0,0.0,6020.0,6020.0,100.0,100.0,0.0,Low Risk
T00031,U00040,Miguel Jones,curtisbarton@example.net,+1-819-905-8651x850,2024-02-20,2025-02-19,1805.0,1805.0,Active,365,-411,1,Expired,Standard (6-12mo),1901.0,1BR/1BA,742,96.0,5.05,1,13.0,13.0,0.0,0.0,23465.0,23465.0,100.0,100.0,0.0,Low Risk
T00032,U00041,Tyler Reid,bzimmerman@example.org,001-684-998-7769x4531,2022-06-18,2023-06-18,1548.0,1548.0,Active,365,-1023,1,Expired,Standard (6-12mo),1646.0,1BR/1BA,664,98.0,5.95,1,,,,,,,,,,
T00033,U00043,John Bishop,frogers@example.com,(273)554-5494,2022-11-26,2024-05-27,1433.0,1433.0,Notice to Vacate,548,-679,1,Expired,Long-Term (>12mo),1600.0,1BR/1BA,846,167.0,10.44,1,6.0,6.0,0.0,0.0,8598.0,8598.0,100.0,100.0,0.0,Low Risk
T00034,U00045,Nathan Freeman,hannahbrewer@example.com,701.843.6349x578,2022-10-12,2024-10-11,1804.0,1804.0,Active,730,-542,1,Expired,Long-Term (>12mo),1936.0,1BR/1BA,758,132.0,6.82,1,11.0,11.0,0.0,0.0,19844.0,19844.0,100.0,100.0,0.0,Low Risk
T00035,U00046,Krista Bell MD,john13@example.com,682-333-7498,2022-06-18,2023-06-18,1537.0,1537.0,Active,365,-1023,1,Expired,Standard (6-12mo),1675.0,1BR/1BA,832,138.0,8.24,1,,,,,,,,,,
T00036,U00047,Elizabeth Ward,alexis82@example.com,6089427109,2021-09-19,2023-03-21,1881.0,1881.0,Active,548,-1112,1,Expired,Long-Term (>12mo),1910.0,1BR/1BA,762,29.0,1.52,0,,,,,,,,,,
T00037,U00048,Glen Sheppard,shelley71@example.org,(871)590-2294x1318,2022-07-30,2023-07-30,1625.0,1625.0,Active,365,-981,1,Expired,Standard (6-12mo),1640.0,1BR/1BA,713,15.0,0.91,0,,,,,,,,,,
T00038,U00049,Jamie Kerr,michelle64@example.net,+1-309-413-3412x328,2022-08-03,2023-08-03,1690.0,1690.0,Active,365,-977,1,Expired,Standard (6-12mo),1772.0,1BR/1BA,800,82.0,4.63,0,,,,,,,,,,
T00039,U00050,Jerry Wheeler,antonio44@example.net,413.349.3618x324,2022-06-25,2024-06-24,1448.0,1448.0,Active,730,-651,1,Expired,Long-Term (>12mo),1578.0,1BR/1BA,651,130.0,8.24,1,7.0,7.0,0.0,0.0,10136.0,10136.0,100.0,100.0,0.0,Low Risk
T00040,U00051,Ricky Larson,scott74@example.net,(248)387-7190x6594,2021-12-04,2022-12-04,1527.0,1527.0,Active,365,-1219,1,Expired,Standard (6-12mo),1577.0,1BR/1BA,708,50.0,3.17,0,,,,,,,,,,
T00041,U00052,Michael Valencia,keyemily@example.com,001-802-978-7429,2023-10-04,2024-10-03,1662.0,1662.0,Notice to Vacate,365,-550,1,Expired,Standard (6-12mo),1756.0,1BR/1BA,668,94.0,5.35,1,11.0,9.0,0.0,2.0,18282.0,14958.0,81.82,81.82,70.9,Critical
T00042,U00054,Julie Ortiz,elizabeth25@example.com,001-874-268-0715x451,2023-06-21,2024-06-20,1570.0,1570.0,Active,365,-655,1,Expired,Standard (6-12mo),1739.0,1BR/1BA,797,169.0,9.72,1,7.0,6.0,1.0,0.0,10990.0,10749.0,97.81,85.71,18.6,Medium Risk
T00043,U00055,Kimberly Gutierrez,aprildean@example.com,+1-570-434-8247x7109,2021-04-22,2022-04-22,1432.0,1432.0,Active,365,-1445,1,Expired,Standard (6-12mo),1588.0,1BR/1BA,698,156.0,9.82,1,,,,,,,,,,
T00044,U00056,Adam Russell,victoriadurham@example.com,527-948-4677,2023-08-22,2024-08-21,1546.0,1546.0,Active,365,-593,1,Expired,Standard (6-12mo),1719.0,1BR/1BA,740,173.0,10.06,1,9.0,9.0,0.0,0.0,13914.0,13914.0,100.0,100.0,0.0,Low Risk
T00045,U00057,Janet Weeks,michellehill@example.com,784-804-4997x27875,2023-08-15,2025-02-13,1619.0,1619.0,Active,548,-417,1,Expired,Long-Term (>12mo),1811.0,1BR/1BA,822,192.0,10.6,1,15.0,13.0,0.0,2.0,24285.0,21047.0,86.67,86.67,68.0,Critical
T00046,U00058,Frank Lopez,ashleyhall@example.com,7573662702,2023-10-11,2024-10-10,1596.0,1596.0,Active,365,-543,1,Expired,Standard (6-12mo),1711.0,1BR/1BA,665,115.0,6.72,1,11.0,10.0,1.0,0.0,17556.0,17379.0,98.99,90.91,15.5,Medium Risk
T00047,U00059,Jessica Fox,jsmith@example.com,+1-921-274-5961x5865,2024-02-23,2025-08-24,1521.0,1521.0,Notice to Vacate,548,-225,1,Expired,Long-Term (>12mo),1627.0,1BR/1BA,713,106.0,6.52,1,13.0,13.0,0.0,0.0,19773.0,19773.0,100.0,100.0,0.0,Low Risk
T00048,U00060,Cynthia Cohen,wendy16@example.org,001-517-824-0050x45562,2021-08-19,2022-08-19,1538.0,1538.0,Notice to Vacate,365,-1326,1,Expired,Standard (6-12mo),1719.0,1BR/1BA,685,181.0,10.53,1,,,,,,,,,,
T00049,U00061,Rebecca Jackson,lynchpatrick@example.net,279.923.7474,2021-07-11,2022-07-11,1870.0,1870.0,Notice to Vacate,365,-1365,1,Expired,Standard (6-12mo),1900.0,1BR/1BA,713,30.0,1.58,0,,,,,,,,,,
T00050,U00063,Megan Moore,llandry@example.com,+1-664-674-3671x3695,2022-01-05,2023-01-05,1880.0,1880.0,Active,365,-1187,1,Expired,Standard (6-12mo),1938.0,1BR/1BA,653,58.0,2.99,0,,,,,,,,,,
T00051,U00064,Ronald Foster,knightgina@example.net,6974439533,2022-07-13,2024-07-12,1721.0,1721.0,Active,730,-633,1,Expired,Long-Term (>12mo),1744.0,1BR/1BA,754,23.0,1.32,0,8.0,8.0,0.0,0.0,13768.0,13768.0,100.0,100.0,0.0,Low Risk
T00052,U00065,Stephanie Lucas,kristina09@example.com,001-621-445-6232x8588,2024-04-14,2025-04-14,1535.0,1535.0,Active,365,-357,1,Expired,Standard (6-12mo),1616.0,1BR/1BA,665,81.0,5.01,1,11.0,9.0,1.0,1.0,16885.0,15057.0,89.17,81.82,50.9,High Risk
T00053,U00066,Roger Olson,julie51@example.com,623-368-5160,2021-01-09,2023-01-09,1867.0,1867.0,Active,730,-1183,1,Expired,Long-Term (>12mo),1921.0,1BR/1BA,717,54.0,2.81,0,,,,,,,,,,
T00054,U00068,Michael Chambers,xcarson@example.org,+1-437-209-8593x17461,2022-01-05,2023-07-07,1819.0,1819.0,Active,548,-1004,1,Expired,Long-Term (>12mo),1837.0,1BR/1BA,819,18.0,0.98,0,,,,,,,,,,
T00055,U00070,Elizabeth Vasquez,youngamanda@example.com,258.769.2617x964,2022-05-20,2023-11-19,1698.0,1698.0,Active,548,-869,1,Expired,Long-Term (>12mo),1767.0,1BR/1BA,838,69.0,3.9,0,,,,,,,,,,
T00056,U00072,Jeremy Young,cory58@example.net,(706)543-1713x900,2022-11-05,2023-11-05,1474.0,1474.0,Active,365,-883,1,Expired,Standard (6-12mo),1613.0,1BR/1BA,785,139.0,8.62,1,,,,,,,,,,
T00057,U00073,Rachel Harris DVM,brendali@example.org,729-504-2284x21020,2021-09-07,2023-03-09,1458.0,1458.0,Active,548,-1124,1,Expired,Long-Term (>12mo),1577.0,1BR/1BA,697,119.0,7.55,1,,,,,,,,,,
T00058,U00074,Alexis Baker,judyfox@example.net,577-258-9178,2021-08-06,2022-08-06,1436.0,1436.0,Active,365,-1339,1,Expired,Standard (6-12mo),1598.0,1BR/1BA,753,162.0,10.14,1,,,,,,,,,,
T00059,U00075,Susan Hopkins,stephen00@example.com,(761)877-1159x2124,2021-06-16,2022-12-16,1752.0,1752.0,Active,548,-1207,1,Expired,Long-Term (>12mo),1788.0,1BR/1BA,798,36.0,2.01,0,,,,,,,,,,
T00060,U00077,Kerry Chavez DDS,mcguiredanny@example.net,+1-883-767-3657x6615,2023-09-10,2025-03-11,1838.0,1838.0,Active,548,-391,1,Expired,Long-Term (>12mo),1924.0,1BR/1BA,730,86.0,4.47,0,15.0,12.0,1.0,2.0,27570.0,23086.0,83.74,80.0,82.0,Critical
T00061,U00078,Jacqueline Hernandez,fjones@example.org,(215)628-0988x51656,2022-07-06,2024-07-05,1588.0,1588.0,Active,730,-640,1,Expired,Long-Term (>12mo),1656.0,1BR/1BA,711,68.0,4.11,0,8.0,8.0,0.0,0.0,12704.0,12704.0,100.0,100.0,0.0,Low Risk
T00062,U00079,Heather Lane,ericolson@example.org,(285)614-9368x998,2022-11-06,2023-11-06,1607.0,1607.0,Active,365,-882,1,Expired,Standard (6-12mo),1676.0,1BR/1BA,767,69.0,4.12,0,,,,,,,,,,
T00063,U00080,Donald Farmer,michael22@example.net,+1-661-720-1836x67525,2023-07-17,2024-07-16,1787.0,1787.0,Active,365,-629,1,Expired,Standard (6-12mo),1798.0,1BR/1BA,767,11.0,0.61,0,8.0,6.0,0.0,2.0,14296.0,10722.0,75.0,75.0,75.0,Critical
T00064,U00081,Latoya Miller,moorekaren@example.org,+1-814-376-7976x43815,2024-03-11,2025-03-11,1598.0,1598.0,Active,365,-391,1,Expired,Standard (6-12mo),1765.0,1BR/1BA,668,167.0,9.46,1,12.0,11.0,1.0,0.0,19176.0,18631.0,97.16,91.67,15.0,Medium Risk
T00065,U00082,Michael Tucker,brandon69@example.org,2349324451,2021-04-10,2022-04-10,1767.0,1767.0,Active,365,-1457,1,Expired,Standard (6-12mo),1923.0,1BR/1BA,683,156.0,8.11,1,,,,,,,,,,
T00066,U00085,Casey James,vincentwhitaker@example.com,860-860-7159,2021-04-24,2022-04-24,1718.0,1718.0,Active,365,-1443,1,Expired,Standard (6-12mo),1817.0,1BR/1BA,652,99.0,5.45,1,,,,,,,,,,
T00067,U00086,Jennifer Wilson,burchgeorge@example.net,651.761.3696x816,2024-05-18,2025-11-17,1418.0,1418.0,Active,548,-140,1,Expired,Long-Term (>12mo),1591.0,1BR/1BA,819,173.0,10.87,1,10.0,10.0,0.0,0.0,14180.0,14180.0,100.0,100.0,0.0,Low Risk
T00068,U00088,Richard Jones,schmidtjames@example.com,(923)912-4329x212,2022-06-07,2023-06-07,1508.0,1508.0,Active,365,-1034,1,Expired,Standard (6-12mo),1659.0,1BR/1BA,689,151.0,9.1,1,,,,,,,,,,
T00069,U00089,Olivia Cole,michelle52@example.com,377-644-9058,2023-03-28,2024-03-27,1489.0,1489.0,Active,365,-740,1,Expired,Standard (6-12mo),1687.0,1BR/1BA,833,198.0,11.74,1,4.0,4.0,0.0,0.0,5956.0,5956.0,100.0,100.0,0.0,Low Risk
T00070,U00090,Andrew Wood,chase19@example.net,267.998.0793x59782,2022-03-03,2023-03-03,1617.0,1617.0,Active,365,-1130,1,Expired,Standard (6-12mo),1745.0,1BR/1BA,779,128.0,7.34,1,,,,,,,,,,
T00071,U00091,Steven Cooper,wagnergerald@example.org,001-777-288-9255x466,2023-04-05,2024-04-04,1646.0,1646.0,Active,365,-732,1,Expired,Standard (6-12mo),1719.0,1BR/1BA,812,73.0,4.25,0,5.0,5.0,0.0,0.0,8230.0,8230.0,100.0,100.0,0.0,Low Risk
T00072,U00092,Maria Jones,grantpaul@example.com,001-692-851-9254x6291,2021-11-12,2022-11-12,1541.0,1541.0,Active,365,-1241,1,Expired,Standard (6-12mo),1683.0,1BR/1BA,650,142.0,8.44,1,,,,,,,,,,
T00073,U00093,Erin Anderson,lucasrodney@example.com,4544235733,2023-06-05,2024-06-04,1825.0,1825.0,Active,365,-671,1,Expired,Standard (6-12mo),1846.0,1BR/1BA,691,21.0,1.14,0,7.0,7.0,0.0,0.0,12775.0,12775.0,100.0,100.0,0.0,Low Risk
T00074,U00094,Ryan Garcia,stanleynancy@example.net,(296)822-2927,2024-05-20,2025-05-20,1434.0,1434.0,Active,365,-321,1,Expired,Standard (6-12mo),1554.0,1BR/1BA,793,120.0,7.72,1,10.0,10.0,0.0,0.0,14340.0,14340.0,100.0,100.0,0.0,Low Risk
T00075,U00096,Nathan Montes,karen73@example.net,847.835.9774,2021-07-16,2022-07-16,1515.0,1515.0,Active,365,-1360,1,Expired,Standard (6-12mo),1609.0,1BR/1BA,791,94.0,5.84,1,,,,,,,,,,
T00076,U00097,Ruth Solis,moniquewilliams@example.com,(881)381-4124x782,2023-09-30,2025-03-31,1673.0,1673.0,Active,548,-371,1,Expired,Long-Term (>12mo),1696.0,1BR/1BA,728,23.0,1.36,0,15.0,15.0,0.0,0.0,25095.0,25095.0,100.0,100.0,0.0,Low Risk
T00077,U00098,Courtney Hayes,sarah60@example.com,653.961.5305x15220,2023-09-03,2024-09-02,1727.0,1727.0,Active,365,-581,1,Expired,Standard (6-12mo),1823.0,1BR/1BA,703,96.0,5.27,1,10.0,10.0,0.0,0.0,17270.0,17270.0,100.0,100.0,0.0,Low Risk
T00078,U00100,Brenda Thornton,fgilbert@example.org,232-589-8614x341,2023-05-17,2024-05-16,1565.0,1565.0,Active,365,-690,1,Expired,Standard (6-12mo),1612.0,1BR/1BA,841,47.0,2.92,0,6.0,6.0,0.0,0.0,9390.0,9390.0,100.0,100.0,0.0,Low Risk
T00079,U00101,Riley Bryant,copelandvincent@example.net,7895324609,2023-01-25,2025-01-24,1717.0,1717.0,Active,730,-437,1,Expired,Long-Term (>12mo),1903.0,1BR/1BA,695,186.0,9.77,1,14.0,13.0,1.0,0.0,24038.0,23606.0,98.2,92.86,14.3,Medium Risk
T00080,U00102,Chelsea Barnett,carlos88@example.net,380.767.0654x05153,2023-05-23,2024-05-22,1699.0,1699.0,Active,365,-684,1,Expired,Standard (6-12mo),1920.0,1BR/1BA,838,221.0,11.51,1,6.0,6.0,0.0,0.0,10194.0,10194.0,100.0,100.0,0.0,Low Risk
T00081,U00103,Harold Morgan,mariacohen@example.net,822.917.0430x3054,2022-12-01,2024-06-01,1551.0,1551.0,Active,548,-674,1,Expired,Long-Term (>12mo),1614.0,1BR/1BA,718,63.0,3.9,0,7.0,7.0,0.0,0.0,10857.0,10857.0,100.0,100.0,0.0,Low Risk
T00082,U00104,Paul Lee,michelle05@example.com,956-767-6527,2021-11-14,2023-05-16,1791.0,1791.0,Active,548,-1056,1,Expired,Long-Term (>12mo),1899.0,1BR/1BA,747,108.0,5.69,1,,,,,,,,,,
T00083,U00105,Kelly Owen,mmiller@example.org,+1-845-411-5447,2023-12-11,2024-12-10,1717.0,1717.0,Active,365,-482,1,Expired,Standard (6-12mo),1877.0,1BR/1BA,701,160.0,8.52,1,13.0,13.0,0.0,0.0,22321.0,22321.0,100.0,100.0,0.0,Low Risk
T00084,U00106,Heather Williams,christina64@example.net,9162582029,2023-06-15,2024-06-14,1857.0,1857.0,Active,365,-661,1,Expired,Standard (6-12mo),1878.0,1BR/1BA,728,21.0,1.12,0,7.0,7.0,0.0,0.0,12999.0,12999.0,100.0,100.0,0.0,Low Risk
T00085,U00107,David Brewer,patrick90@example.net,(775)857-1928,2023-09-06,2024-09-05,1629.0,1629.0,Active,365,-578,1,Expired,Standard (6-12mo),1814.0,1BR/1BA,656,185.0,10.2,1,10.0,10.0,0.0,0.0,16290.0,16290.0,100.0,100.0,0.0,Low Risk
T00086,U00108,Donald Horne,fitzgeraldvictor@example.com,+1-514-347-3947,2021-09-19,2022-09-19,1860.0,1860.0,Active,365,-1295,1,Expired,Standard (6-12mo),1896.0,1BR/1BA,721,36.0,1.9,0,,,,,,,,,,
T00087,U00110,Benjamin Thompson,zosborn@example.net,451-588-4422x58313,2023-12-08,2025-06-08,1763.0,1763.0,Active,548,-302,1,Expired,Long-Term (>12mo),1926.0,1BR/1BA,734,163.0,8.46,1,15.0,14.0,1.0,0.0,26445.0,26411.0,99.87,93.33,14.0,Medium Risk
T00088,U00111,Allison Spencer,tanner82@example.net,314-467-8669,2021-04-08,2023-04-08,1585.0,1585.0,Active,730,-1094,1,Expired,Long-Term (>12mo),1782.0,1BR/1BA,695,197.0,11.05,1,,,,,,,,,,
T00089,U00112,Maria Cole,david89@example.org,001-626-380-1824x22535,2021-04-03,2023-04-03,1597.0,1597.0,Active,730,-1099,1,Expired,Long-Term (>12mo),1789.0,1BR/1BA,677,192.0,10.73,1,,,,,,,,,,
T00090,U00113,Mark Pierce,colleenmendez@example.org,629.592.2995x90010,2023-05-21,2024-11-19,1597.0,1597.0,Active,548,-503,1,Expired,Long-Term (>12mo),1792.0,1BR/1BA,761,195.0,10.88,1,12.0,11.0,0.0,1.0,19164.0,17567.0,91.67,91.67,35.0,High Risk
T00091,U00114,Jennifer Fowler,ismall@example.com,+1-947-536-4710x2767,2024-03-10,2025-03-10,1762.0,1762.0,Active,365,-392,1,Expired,Standard (6-12mo),1910.0,1BR/1BA,748,148.0,7.75,1,12.0,11.0,1.0,0.0,21144.0,20775.0,98.25,91.67,15.0,Medium Risk
T00092,U00116,Charles Hensley,jessica56@example.org,001-258-681-5371x47321,2024-04-14,2025-04-14,2050.0,2050.0,Active,365,-357,1,Expired,Standard (6-12mo),2109.0,2BR/1BA,987,59.0,2.8,0,11.0,11.0,0.0,0.0,22550.0,22550.0,100.0,100.0,0.0,Low Risk
T00093,U00117,Sharon Barnes,lisapeck@example.net,532-578-7747x01687,2021-02-03,2022-02-03,1932.0,1932.0,Active,365,-1523,1,Expired,Standard (6-12mo),1994.0,2BR/1BA,943,62.0,3.11,0,,,,,,,,,,
T00094,U00118,Amber Campbell,amitchell@example.org,(624)356-5060x98358,2023-08-06,2024-08-05,1891.0,1891.0,Active,365,-609,1,Expired,Standard (6-12mo),1941.0,2BR/1BA,1009,50.0,2.58,0,9.0,8.0,1.0,0.0,17019.0,16408.0,96.41,88.89,16.7,Medium Risk
T00095,U00119,Jerry Pierce,andersoncolin@example.com,985-923-9868x00025,2023-03-16,2024-03-15,1726.0,1726.0,Active,365,-752,1,Expired,Standard (6-12mo),1939.0,2BR/1BA,979,213.0,10.99,1,4.0,4.0,0.0,0.0,6904.0,6904.0,100.0,100.0,0.0,Low Risk
T00096,U00120,Steven Taylor,francisco94@example.net,688-287-9470x55169,2022-09-02,2023-09-02,2009.0,2009.0,Active,365,-947,1,Expired,Standard (6-12mo),2114.0,2BR/1BA,953,105.0,4.97,0,,,,,,,,,,
T00097,U00121,Deborah Rios,jennifersilva@example.org,896.523.0913x07562,2023-07-21,2025-01-19,1899.0,1899.0,Active,548,-442,1,Expired,Long-Term (>12mo),1989.0,2BR/1BA,899,90.0,4.52,0,14.0,13.0,1.0,0.0,26586.0,26449.0,99.48,92.86,14.3,Medium Risk
T00098,U00123,Reginald Knapp,thorntonapril@example.net,578-565-2785x85497,2022-06-27,2023-06-27,1929.0,1929.0,Active,365,-1014,1,Expired,Standard (6-12mo),1937.0,2BR/1BA,850,8.0,0.41,0,,,,,,,,,,
T00099,U00124,Edwin David,kellie37@example.com,258.644.1986x6524,2022-01-19,2023-01-19,1870.0,1870.0,Notice to Vacate,365,-1173,1,Expired,Standard (6-12mo),2073.0,2BR/1BA,998,203.0,9.79,1,,,,,,,,,,
